,Vehicle_Application_Status,Application ID,Application Status,Property Type,Property Sub Type,OnSite Sanitation Type,Door Number,Street Name,City,Pincode,Locality,District,State,Slum Name,Application Source,Desludging Entity,Longitude,Latitude,Geo Location Provided,Desludging Vehicle Number,Vehicle Type,Vehicle Capacity,Waste Collected,Waste Dumped,Vehicle In DateTime,Vehicle  Out DateTime,Fstp Plant Name,Payment Amount,Payment Status,Payment Source,Payment Instrument Type,Application Submitted Time,Pending payment Submitted Time,Assigned DSO Submitted Time,DSO Rejected Submitted Time,DSO Inprogress Submitted Time,Pending DSO Approval Submitted Time,Rejected Date Time,Cancelled Date Time,Citizen feedback Submitted Date Time,Application Completed Time,Rating,Scheduled Time,Waiting for disposalTime,Disposed Time,SLA Planned (In Days),SLA achieved
0,Scheduled,FSM-TST-2021-12-29-000082,DSO Inprogress,Residential,Independent house,N/A,N/A,ddd,testing,814112,Main Road Abadpura,testing,Punjab,,Telephone,Testing DSO,,,No,OD 01 AH 6253,Bolero Pickup,1000,0,0,N/A,N/A,,650,New,Counter,CASH,29/12/2021 20:29:09,29/12/2021 20:29:10,29/12/2021 20:29:47,N/A,10/01/2022 18:40:15,10/01/2022 18:39:49,N/A,N/A,N/A,,,,,,2,N/A
1,Scheduled,FSM-TST-2021-12-06-000002,DSO Inprogress,Residential,Independent house,Conventional Spectic tank,N/A,ddd,testing,814112,Main Road Abadpura,testing,Punjab,,Telephone,Testing DSO,,,No,OD 01 AH 6253,Bolero Pickup,1000,0,0,N/A,N/A,,650,New,Counter,CASH,06/12/2021 22:03:59,06/12/2021 22:03:59,06/12/2021 22:04:08,N/A,06/12/2021 22:06:26,06/12/2021 22:04:27,N/A,N/A,N/A,,,,,,2,N/A
2,Disposed,FSM-TST-2021-12-06-000001,Citizen feedback pending,Residential,Apartment,Septic tank with soak pit,N/A,ddd,testing,814112,"Gali No,. 2 To Gali No. 6",testing,Punjab,,Telephone,Testing DSO,,,No,OD 01 AH 6253,Bolero Pickup,1000,1000,1000,06/12/2021 19:32:00,06/12/2021 22:10:00,,650,New,Counter,CASH,06/12/2021 22:01:11,06/12/2021 22:01:13,06/12/2021 22:01:33,N/A,06/12/2021 22:03:01,06/12/2021 22:02:44,N/A,N/A,06/12/2021 22:03:08,,,,,,2,N/A
3,Scheduled,FSM-TST-2021-12-06-000003,DSO Inprogress,Residential,Independent house,N/A,N/A,ddd,testing,814112,Main Road Abadpura,testing,Punjab,,Telephone,Testing DSO,,,No,OD 01 AH 6253,Bolero Pickup,1000,0,0,N/A,N/A,,650,New,Counter,CASH,06/12/2021 23:11:43,06/12/2021 23:10:53,06/12/2021 23:11:03,N/A,06/12/2021 23:12:49,06/12/2021 23:12:03,N/A,N/A,N/A,,,,,,2,N/A
4,Disposed,FSM-TST-2021-12-31-000083,DSO Inprogress,Residential,Apartment,Conventional Spectic tank,N/A,ddd,testing,814112,Main Road Abadpura,testing,Punjab,,Telephone,Testing DSO,,,No,OD 01 AH 6253,Bolero Pickup,1000,1000,1000,31/12/2021 19:32:00,31/12/2021 21:28:00,,650,New,Counter,CASH,31/12/2021 21:21:23,31/12/2021 21:21:23,31/12/2021 21:21:31,N/A,31/12/2021 21:22:41,31/12/2021 21:22:28,N/A,N/A,N/A,,,,,,2,N/A
5,Disposed,FSM-TST-2021-12-06-000005,Completed Request,Residential,Apartment,Conventional Spectic tank,N/A,N/A,testing,,"Gali No,. 2 To Gali No. 6",testing,Punjab,,Telephone,Testing DSO,,,No,OD 01 AH 6253,Bolero Pickup,1000,1000,1000,06/12/2021 17:33:00,07/12/2021 00:03:00,,650,New,Counter,CASH,06/12/2021 23:45:15,06/12/2021 23:44:25,06/12/2021 23:48:21,N/A,06/12/2021 23:57:52,06/12/2021 23:50:50,N/A,N/A,06/12/2021 23:58:33,07/12/2021 00:03:43,4,,,,2,29.0
6,Scheduled,FSM-TST-2021-12-06-000009,DSO Inprogress,Residential,Apartment,Septic tank with soak pit,N/A,ddd,testing,814112,Main Road Abadpura,testing,Punjab,,Telephone,Testing DSO,,,No,OD 01 AH 6253,Bolero Pickup,1000,0,0,N/A,N/A,,650,New,Counter,CASH,07/12/2021 00:12:21,07/12/2021 00:12:21,07/12/2021 00:13:28,07/12/2021 00:29:15,07/12/2021 00:31:00,07/12/2021 00:14:13,N/A,N/A,N/A,,,,,,2,N/A
7,Disposed,FSM-TST-2021-12-06-000012,Completed Request,Residential,Independent house,Conventional Spectic tank,N/A,N/A,testing,,"Gali No,. 2 To Gali No. 6",testing,Punjab,,Telephone,Testing DSO,,,No,OD 01 AH 6253,Bolero Pickup,1000,1000,1000,06/12/2021 17:38:00,07/12/2021 00:34:00,,650,New,Counter,CASH,07/12/2021 00:21:28,07/12/2021 00:21:28,07/12/2021 00:21:55,N/A,07/12/2021 00:24:37,07/12/2021 00:22:40,N/A,N/A,07/12/2021 00:25:13,23/02/2022 01:10:05,4,,,,2,226.0
8,Scheduled,FSM-TST-2021-12-06-000014,DSO Inprogress,Residential,Independent house,Conventional Spectic tank,N/A,N/A,testing,,Main Road Abadpura,testing,Punjab,,Telephone,Testing DSO,,,No,OD 01 AH 6253,Bolero Pickup,1000,0,0,N/A,N/A,,650,New,Counter,CASH,07/12/2021 02:10:01,07/12/2021 02:09:09,07/12/2021 02:12:01,N/A,07/12/2021 02:13:35,07/12/2021 02:13:05,N/A,N/A,N/A,,,,,,2,N/A
9,Scheduled,FSM-TST-2022-01-11-000110,DSO Inprogress,Residential,Independent house,N/A,N/A,ddd,testing,814112,Main Road Abadpura,testing,Punjab,,Telephone,Testing DSO,,,No,OD 01 AH 6253,Bolero Pickup,1000,0,0,N/A,N/A,,650,New,Counter,CASH,11/01/2022 15:35:34,11/01/2022 15:35:34,11/01/2022 15:35:55,N/A,11/01/2022 15:36:56,11/01/2022 15:36:41,N/A,N/A,N/A,,,,,,2,N/A
