"tenantid","status"
"od.cuttack","PENDING_APPL_FEE"
"od.rourkela","FIELDINSPECTION_INPROGRESS"
"od.rourkela","CITIZEN_APPROVAL_INPROCESS"
"od.sambalpur","INITIATED"
"od.cuttack","CITIZEN_ACTION_PENDING_AT_DOC_VERIF"
"od.cuttack","APPROVED"
"od.rourkela","APPROVED"
"od.rourkela","PENDING_APPL_FEE"
"od.sambalpur","DOC_VERIFICATION_INPROGRESS"
"od.cuttack","APPROVED"
"od.rourkela","PENDING_SANC_FEE_PAYMENT"
"od.sambalpur","DOC_VERIFICATION_INPROGRESS"
"od.rourkela","DOC_VERIFICATION_INPROGRESS"
"od.sambalpur","CITIZEN_ACTION_PENDING_AT_DOC_VERIF"
"od.rourkela","APPROVED"
"od.sambalpur","APPROVED"
"od.berhampur","FIELDINSPECTION_INPROGRESS"
"od.rourkela","APPROVED"
"od.rourkela","APPROVED"
"od.rourkela","APPROVED"
"od.rourkela","CITIZEN_APPROVAL_INPROCESS"
"od.sambalpur","APPROVED"
"od.berhampur","DOC_VERIFICATION_INPROGRESS"
"od.rourkela","PENDING_SANC_FEE_PAYMENT"
"od.rourkela","APPROVED"
"od.berhampur","INITIATED"
"od.berhampur","FIELDINSPECTION_INPROGRESS"
"od.rourkela","FIELDINSPECTION_INPROGRESS"
"od.rourkela","CITIZEN_ACTION_PENDING_AT_DOC_VERIF"
"od.cuttack","APPROVED"
"od.berhampur","APPROVED"
"od.sambalpur","APPROVED"
"od.rourkela","PENDING_SANC_FEE_PAYMENT"
"od.sambalpur","APPROVED"
"od.sambalpur","APPROVED"
"od.rourkela","APPROVED"
"od.rourkela","CITIZEN_ACTION_PENDING_AT_DOC_VERIF"
"od.berhampur","APPROVED"
"od.rourkela","CITIZEN_ACTION_PENDING_AT_APP_L1_VERIF"
"od.rourkela","PENDING_SANC_FEE_PAYMENT"
"od.rourkela","REJECTED"
"od.rourkela","PENDING_APPL_FEE"
"od.berhampur","APPROVED"
"od.rourkela","PENDING_SANC_FEE_PAYMENT"
"od.rourkela","APPROVED"
"od.cuttack","INITIATED"
"od.cuttack","CITIZEN_ACTION_PENDING_AT_DOC_VERIF"
"od.berhampur","CITIZEN_APPROVAL_INPROCESS"
"od.rourkela","CITIZEN_APPROVAL_INPROCESS"
"od.berhampur","DOC_VERIFICATION_INPROGRESS"
"od.rourkela","APPROVED"
"od.rourkela","APPROVED"
"od.rourkela","APPROVED"
"od.rourkela","PENDING_SANC_FEE_PAYMENT"
"od.rourkela","CITIZEN_APPROVAL_INPROCESS"
"od.berhampur","APPROVAL_INPROGRESS"
"od.rourkela","CITIZEN_APPROVAL_INPROCESS"
"od.rourkela","CITIZEN_APPROVAL_INPROCESS"
"od.rourkela","APPROVAL_INPROGRESS"
