"ulb","applicationnumber","applicationdate","licenseissueddate","status","createddate","lastmodifieddate"
"Titilagarh","MR-TTG-2021-12-10-000191","2021-12-10 10:16:33+05:30",NULL,"CITIZENACTIONPENDINGATDOCVERIFICATION","2021-12-10 10:16:33+05:30","2021-12-15 17:00:49+05:30"
"Vyasanagar","MR-VSN-2021-12-14-000195","2021-12-14 11:29:13+05:30",NULL,"DOCVERIFICATION","2021-12-14 11:29:13+05:30","2022-01-19 15:58:11+05:30"
"Cuttack","MR-CTC-2021-12-14-000196","2021-12-14 13:45:06+05:30",NULL,"DOCVERIFICATION","2021-12-14 13:45:06+05:30","2021-12-14 13:54:49+05:30"
"Titilagarh","MR-TTG-2021-12-16-000199","2021-12-16 11:41:43+05:30",NULL,"REJECTED","2021-12-16 11:41:43+05:30","2022-01-17 11:53:31+05:30"
"Rairangpur","MR-RRG-2021-12-30-000229","2021-12-30 13:05:34+05:30","2021-12-30 14:19:23+05:30","APPROVED","2021-12-30 13:05:34+05:30","2021-12-30 14:19:23+05:30"
"Konark","MR-KON-2021-12-30-000230","2021-12-30 13:46:19+05:30",NULL,"PENDINGAPPROVAL","2021-12-30 13:46:19+05:30","2022-01-10 13:57:29+05:30"
"Sonepur","MR-SBR-2021-12-30-000231","2021-12-30 15:45:06+05:30","2021-12-30 16:44:07+05:30","APPROVED","2021-12-30 15:45:06+05:30","2021-12-30 16:44:06+05:30"
"Rourkela","MR-RRK-2022-01-01-000239","2022-01-01 12:55:06+05:30","2022-01-04 16:39:06+05:30","APPROVED","2022-01-01 12:55:06+05:30","2022-01-04 16:39:05+05:30"
"Rourkela","MR-RRK-2022-01-02-000240","2022-01-02 12:54:04+05:30",NULL,"CITIZENACTIONPENDINGATDOCVERIFICATION","2022-01-02 12:54:04+05:30","2022-01-06 15:42:21+05:30"
"Rourkela","MR-RRK-2022-01-03-000243","2022-01-03 11:30:07+05:30","2022-01-03 12:42:34+05:30","APPROVED","2022-01-03 11:30:07+05:30","2022-01-03 12:42:33+05:30"
"Cuttack","MR-CTC-2022-01-03-000246","2022-01-03 15:52:11+05:30",NULL,"PENDINGSCHEDULE","2022-01-03 15:52:11+05:30","2022-01-03 16:28:49+05:30"
"Keonjhargarh","MR-KNJ-2022-01-03-000249","2022-01-03 18:20:23+05:30",NULL,"CITIZENACTIONPENDINGATDOCVERIFICATION","2022-01-03 18:20:23+05:30","2022-01-07 17:02:16+05:30"
"Vyasanagar","MR-VSN-2022-01-03-000250","2022-01-03 19:35:09+05:30","2022-01-13 12:32:58+05:30","APPROVED","2022-01-03 19:35:09+05:30","2022-01-13 12:32:58+05:30"
"Balugaon","MR-BLG-2022-01-03-000251","2022-01-03 19:52:17+05:30","2022-01-15 10:43:39+05:30","APPROVED","2022-01-03 19:52:17+05:30","2022-01-15 10:43:38+05:30"
"Nayagarh","MR-NGR-2022-01-04-000252","2022-01-04 11:17:27+05:30","2022-01-12 12:02:37+05:30","APPROVED","2022-01-04 11:17:27+05:30","2022-01-12 12:02:36+05:30"
"Cuttack","MR-CTC-2022-01-04-000254","2022-01-04 14:18:17+05:30","2022-01-07 18:01:51+05:30","APPROVED","2022-01-04 14:18:17+05:30","2022-01-07 18:01:51+05:30"
"Jajpur","MR-JJP-2022-01-04-000255","2022-01-04 15:36:14+05:30",NULL,"DOCVERIFICATION","2022-01-04 15:36:14+05:30","2022-01-04 15:48:21+05:30"
"Vyasanagar","MR-VSN-2022-01-04-000256","2022-01-04 16:54:31+05:30","2022-01-18 16:13:51+05:30","APPROVED","2022-01-04 16:54:31+05:30","2022-01-18 16:13:50+05:30"
"Pattamundai","MR-PTM-2022-01-05-000258","2022-01-05 17:49:20+05:30",NULL,"PENDINGSCHEDULE","2022-01-05 17:49:20+05:30","2022-01-06 15:00:08+05:30"
"Sonepur","MR-SBR-2022-01-05-000259","2022-01-05 18:12:00+05:30","2022-01-06 10:40:30+05:30","APPROVED","2022-01-05 18:12:00+05:30","2022-01-06 10:40:29+05:30"
"Kashinagar","MR-KSN-2022-01-06-000261","2022-01-06 11:56:36+05:30","2022-01-06 13:28:41+05:30","APPROVED","2022-01-06 11:56:36+05:30","2022-01-06 13:28:41+05:30"
"Cuttack","MR-CTC-2022-01-06-000262","2022-01-06 12:05:10+05:30",NULL,"CITIZENACTIONPENDINGATAPPROVER","2022-01-06 12:05:10+05:30","2022-01-07 17:35:11+05:30"
"Patnagarh","MR-PTN-2022-01-06-000263","2022-01-06 12:28:41+05:30","2022-01-06 13:29:20+05:30","APPROVED","2022-01-06 12:28:41+05:30","2022-01-06 13:29:20+05:30"
"Cuttack","MR-CTC-2022-01-06-000264","2022-01-06 13:41:13+05:30",NULL,"PENDINGPAYMENT","2022-01-06 13:41:13+05:30","2022-01-10 13:11:59+05:30"
