"ulb","numberofapplications"
"od.anandapur",2
"od.khandapada",2
"od.jagatsinghpur",1
"od.jharsuguda",1
"od.konark",3
"od.rourkela",19
"od.paradeep",1
"od.khallikote",2
"od.soro",1
"od.kesinga",2
"od.kashinagar",2
"od.jatni",3
"od.balimela",1
"od.khariar",1
"od.odagaon",3
"od.pattamundai",3
"od.bargarh",4
"od.sambalpur",6
"od.balliguda",1
"od.barpali",1
"od.titilagarh",2
"od.kamakhyanagar",2
"od.bhadrak",1
"od.khariarroad",1
"od.nayagarh",2
"od.khordha",2
"od.koraput",9
"od.berhampur",1
"od.pipli",1
"od.balasore",5
"od.nabarangpur",2
"od.rairangpur",1
"od.binka",2
"od.angul",2
"od.jajpur",7
"od.keonjhargarh",4
"od.udala",3
"od.surada",3
"od.bellaguntha",1
"od.puri",1
"od.patnagarh",3
"od.daspalla",3
"od.paralakhemundi",4
"od.balangir",15
"od.baripada",3
"od.vyasanagar",8
"od.cuttack",33
"od.tusura",1
"od.kotpad",2
"od.bhawanipatna",1
"od.gunupur",10
"od.balugaon",7
"od.sonepur",3
"od.rajgangpur",5
"od.rambha",3
