"ulb","status","numberofapplications"
"od.balugaon","DOCVERIFICATION",2
"od.angul","DOCVERIFICATION",1
"od.udala","APPROVED",3
"od.koraput","APPROVED",8
"od.balliguda","DOCVERIFICATION",1
"od.kesinga","APPROVED",1
"od.cuttack","PENDINGSCHEDULE",1
"od.jajpur","PENDINGAPPROVAL",1
"od.sambalpur","APPROVED",4
"od.sonepur","APPROVED",2
"od.rourkela","PENDINGPAYMENT",1
"od.paralakhemundi","CANCELLED",1
"od.surada","PENDINGAPPROVAL",2
"od.cuttack","DOCVERIFICATION",12
"od.balasore","APPROVED",4
"od.khariar","DOCVERIFICATION",1
"od.patnagarh","APPROVED",3
"od.konark","CITIZENACTIONPENDINGATDOCVERIFICATION",1
"od.rourkela","REJECTED",2
"od.konark","PENDINGAPPROVAL",1
"od.kotpad","DOCVERIFICATION",1
"od.pipli","APPROVED",1
"od.rambha","APPROVED",2
"od.odagaon","REJECTED",3
"od.balangir","DOCVERIFICATION",15
"od.jajpur","APPROVED",2
"od.berhampur","PENDINGAPPROVAL",1
"od.angul","APPROVED",1
"od.titilagarh","CITIZENACTIONPENDINGATDOCVERIFICATION",1
"od.kashinagar","PENDINGPAYMENT",1
"od.kamakhyanagar","APPROVED",2
"od.balimela","APPROVED",1
"od.cuttack","APPROVED",11
"od.gunupur","CANCELLED",1
"od.gunupur","APPROVED",9
"od.paradeep","APPROVED",1
"od.bargarh","CANCELLED",1
"od.binka","APPROVED",2
"od.cuttack","PENDINGPAYMENT",1
"od.tusura","APPROVED",1
"od.vyasanagar","APPROVED",5
"od.sambalpur","CITIZENACTIONPENDINGATDOCVERIFICATION",1
"od.khariarroad","DOCVERIFICATION",1
"od.koraput","CANCELLED",1
"od.khallikote","PENDINGAPPROVAL",1
"od.jatni","APPROVED",3
"od.sambalpur","REJECTED",1
"od.bargarh","APPROVED",3
"od.nabarangpur","APPROVED",2
"od.khallikote","APPROVED",1
"od.bhadrak","DOCVERIFICATION",1
"od.paralakhemundi","APPROVED",1
"od.kesinga","DOCVERIFICATION",1
"od.jajpur","CITIZENACTIONPENDINGATDOCVERIFICATION",1
"od.cuttack","PENDINGAPPROVAL",5
"od.daspalla","DOCVERIFICATION",1
"od.rourkela","APPROVED",9
"od.jagatsinghpur","PENDINGSCHEDULE",1
"od.rajgangpur","DOCVERIFICATION",1
"od.khordha","PENDINGSCHEDULE",2
"od.soro","DOCVERIFICATION",1
"od.bellaguntha","APPROVED",1
"od.jajpur","DOCVERIFICATION",3
"od.keonjhargarh","APPROVED",2
"od.rairangpur","APPROVED",1
"od.baripada","APPROVED",3
"od.sonepur","PENDINGAPPROVAL",1
"od.pattamundai","PENDINGSCHEDULE",1
"od.vyasanagar","DOCVERIFICATION",2
"od.konark","APPROVED",1
"od.anandapur","APPROVED",2
"od.balasore","DOCVERIFICATION",1
"od.kotpad","APPROVED",1
"od.pattamundai","APPROVED",2
"od.jharsuguda","APPROVED",1
"od.bhawanipatna","PENDINGSCHEDULE",1
"od.daspalla","APPROVED",2
"od.nayagarh","APPROVED",1
"od.titilagarh","REJECTED",1
"od.cuttack","CITIZENACTIONPENDINGATDOCVERIFICATION",3
"od.barpali","PENDINGAPPROVAL",1
"od.puri","PENDINGPAYMENT",1
"od.keonjhargarh","CITIZENACTIONPENDINGATDOCVERIFICATION",1
"od.keonjhargarh","DOCVERIFICATION",1
"od.khandapada","APPROVED",2
"od.vyasanagar","CITIZENACTIONPENDINGATDOCVERIFICATION",1
"od.paralakhemundi","DOCVERIFICATION",2
"od.rourkela","CITIZENACTIONPENDINGATDOCVERIFICATION",1
"od.kashinagar","APPROVED",1
"od.nayagarh","PENDINGAPPROVAL",1
"od.balugaon","APPROVED",5
"od.rambha","CANCELLED",1
"od.rajgangpur","APPROVED",4
"od.surada","PENDINGSCHEDULE",1
"od.rourkela","DOCVERIFICATION",6
