"ulb","numberofapplicationsapproved"
"od.anandapur",5
"od.khandapada",2
"od.konark",1
"od.bhanjanagar",1
"od.paradeep",1
"od.soro",1
"od.kesinga",1
"od.kashinagar",1
"od.balimela",1
"od.pattamundai",2
"od.bargarh",5
"od.barpali",1
"od.purushottampur",1
"od.pipli",1
"od.balasore",4
"od.nabarangpur",3
"od.angul",2
"od.jajpur",3
"od.bellaguntha",6
"od.rayagada",1
"od.balangir",16
"od.baripada",3
"od.vyasanagar",6
"od.kotpad",2
"od.sunabeda",1
"od.gunupur",10
"od.balugaon",6
"od.jharsuguda",1
"od.rourkela",14
"od.khallikote",2
"od.jatni",4
"od.sambalpur",5
"od.kamakhyanagar",4
"od.jeypore",1
"od.bhadrak",3
"od.nayagarh",1
"od.deogarh",1
"od.koraput",11
"od.rairangpur",1
"od.binka",3
"od.keonjhargarh",4
"od.udala",3
"od.surada",2
"od.patnagarh",3
"od.daspalla",5
"od.redhakhol",1
"od.paralakhemundi",1
"od.cuttack",18
"od.tusura",1
"od.sonepur",3
"od.rajgangpur",6
"od.rambha",2
