"ulb","numberofapplications"
"od.belpahar",5
"od.anandapur",5
"od.khandapada",2
"od.jagatsinghpur",1
"od.konark",3
"od.bhanjanagar",1
"od.paradeep",1
"od.soro",1
"od.kesinga",2
"od.kashinagar",2
"od.balimela",1
"od.khariar",1
"od.pattamundai",3
"od.bargarh",7
"od.barpali",1
"od.khordha",2
"od.berhampur",2
"od.purushottampur",1
"od.pipli",1
"od.balasore",5
"od.nabarangpur",3
"od.angul",4
"od.bhuban",1
"od.jajpur",8
"od.bellaguntha",6
"od.puri",2
"od.rayagada",1
"od.balangir",22
"od.baripada",3
"od.vyasanagar",14
"od.phulbani",1
"od.kotpad",3
"od.bhawanipatna",1
"od.sunabeda",1
"od.gunupur",11
"od.balugaon",7
"od.jharsuguda",2
"od.kantabanji",2
"od.gudayagiri",1
"od.rourkela",25
"od.khallikote",2
"od.jatni",6
"od.odagaon",5
"od.sambalpur",8
"od.balliguda",1
"od.titilagarh",2
"od.kamakhyanagar",5
"od.jeypore",1
"od.bhadrak",6
"od.khariarroad",1
"od.nayagarh",2
"od.deogarh",1
"od.koraput",12
"od.athmallik",1
"od.basudevpur",1
"od.rairangpur",1
"od.binka",3
"od.keonjhargarh",6
"od.udala",3
"od.surada",3
"od.hinjilicut",1
"od.patnagarh",3
"od.daspalla",5
"od.redhakhol",1
"od.paralakhemundi",4
"od.cuttack",61
"od.tusura",1
"od.sonepur",3
"od.rajgangpur",8
"od.rambha",3
