"tenantid","applicationtype","status"
"od.cuttack","NEW","DOCVERIFICATION"
"od.titilagarh","NEW","CITIZENACTIONPENDINGATDOCVERIFICATION"
"od.balugaon","NEW","INITIATED"
"od.jatni","NEW","INITIATED"
"od.rairangpur","NEW","APPROVED"
"od.sonepur","NEW","APPROVED"
"od.titilagarh","NEW","DOCVERIFICATION"
"od.pattamundai","NEW","INITIATED"
"od.vyasanagar","NEW","DOCVERIFICATION"
"od.jajpur","NEW","INITIATED"
"od.konark","NEW","DOCVERIFICATION"
"od.rourkela","NEW","DOCVERIFICATION"
"od.cuttack","NEW","PENDINGSCHEDULE"
"od.rourkela","NEW","APPROVED"
"od.talcher","NEW","INITIATED"
"od.vyasanagar","NEW","INITIATED"
"od.keonjhargarh","NEW","DOCVERIFICATION"
"od.rourkela","NEW","PENDINGSCHEDULE"
"od.vyasanagar","NEW","DOCVERIFICATION"
"od.balugaon","NEW","DOCVERIFICATION"
"od.nayagarh","NEW","INITIATED"
"od.puri","NEW","INITIATED"
"od.cuttack","NEW","INITIATED"
