"ulb","servicecode","servicerequestid","description","status","dateofassignment"
"od.sambalpur","MarriagerelatedAnyothergrievance","09/02/2022/000160","I am unable to download the marriage certificate as there is no option to input the registration details.  My reg num : MR/SMB/000037 .Please send to email id(nayak.jk97@gmail.com) or please suggest any other option to get the certificate.","open","09/02/2022"
"od.paradeep","DrainageOpenSurfaceAnyothergrievance","09/02/2022/000159","Bleaching powder are not being sprinkled","open","09/02/2022"
"od.sambalpur","Amountdebitedfrombankbutitsnotupdatedonpaymentscreenofportalpage","09/02/2022/000158","APSARA PLANET","open","09/02/2022"
"od.bhuban","Nonreceiptofbills","09/02/2022/000157","Not able to obtain/ find the generated bill on this website even after entering the correct consumer number, mobile number and city(the Property ID and old consumer number was left blank since have no idea about that). ","open","09/02/2022"
"od.cuttack","WaterBillrelatedAnyothergrievance","08/02/2022/000156","Cannot able to find water consumer details under sujog platform","open","08/02/2022"
"od.cuttack","Streetlightsnotfunctioning","08/02/2022/000155","Street lights of My area are not working. Anti social people are taking advantage of the same to do various illegal activities. Please repair","open","08/02/2022"
"od.cuttack","RepairingofDrainwithCoverSlab","08/02/2022/000154","Last month the drain construction work in my locality started. They created slabs but left those slabs on road side since last 3weeks. Also the soil and waste removed from drain are lying around .","open","08/02/2022"
"od.angul","Amountdebitedfrombankbutitsnotupdatedonpaymentscreenofportalpage","06/02/2022/000153","PAYMENT DEDUCT FROM ACCOUNT BUT SHOW IN YOUR SUJOG PORTAL PAGE","open","06/02/2022"
"od.berhampur","UnauthorisedstallsonroadsfootpathsSWDdrain","05/02/2022/000152","unauthorized stall on road kept creating difficulties in Parking.","open","05/02/2022"
"od.cuttack","electricalinconvenienceinOfficeCompound","05/02/2022/000151","the street lights in our lane,tala telenga bazar,ward no 28 behind chandi das eye hospital is not working since last 6 months.","open","05/02/2022"
"od.paradeep","LiftingofDrainSoilSilt","04/02/2022/000150","lifting of Drain soil","assigned","04/02/2022"
"od.sambalpur","BirthDeathCertificatesAnyothergrievance","02/02/2022/000149","Birth record not showing in e municipalty portal online. Twins baby Date of Birth  17.11.2021 at VIMSAR Burla.","open","02/02/2022"
"od.sambalpur","Streetlightsnotfunctioning","02/02/2022/000148","Pole No. SMC/103001004 & SMC/103001003 Mahatabnagar, Burla Near UP School","open","02/02/2022"
"od.paradeep","SolidWasteManagementGarbageAnyothergrievance","01/02/2022/000147","road swiping","resolved","01/02/2022"
"od.khordha","LiftingofDrainSoilSilt","31/01/2022/000146","DRAIN FULL SOIL AND SILT, DRAIN WATER FLOW ON ROAD.I REQUEST TO YOU  PLEASE CLEAN THE DRAIN.","open","31/01/2022"
"od.cuttack","DelayinMarriageRegistration","31/01/2022/000145","I Submitted all my documents but till yet verification is not proceed.","open","31/01/2022"
"od.rourkela","InformationregardingtheAssessmentofHoldingTax","30/01/2022/000144","Holding tax deposit 2022","open","30/01/2022"
"od.paradeep","CleaningofopenSWD","29/01/2022/000143","cleaning of  drain","resolved","29/01/2022"
"od.paradeep","Garbagebinoverflowing","27/01/2022/000142","Garbage Bin overflowing ","resolved","27/01/2022"
"od.jajpur","BusinessTradeLicenseAnyothergrievance","25/01/2022/000141","I have applied trade licence wrongly on Jajapur Muncipality insteade on Vyasanagar Muncipality. so pls refund Rs 5000 for applied new trade liecence ","open","25/01/2022"
"od.paradeep","Removalofdeadanimal","24/01/2022/000140","Removal of dead animal","resolved","24/01/2022"
"od.berhampur","RegardingPayment","24/01/2022/000139","i have paid trade licence payment of 500 but i have not show provisional certificate","open","24/01/2022"
"od.rajgangpur","MiscellaneousAnyothergrievance","22/01/2022/000138","Poor Service from Sujog ,Have been trying to apply for a marriage registration for past 1 month but there is no help provided from Municipality.Also this website is pretty bad with no proper messages","open","22/01/2022"
"od.cuttack","MosquitoNuisance","22/01/2022/000137","We are facing a severe mosquito problem in the area of darakhapatana. Lakhs of mosquitoes are coming out of the drains as these drains are not cleaned or disinfected for over a long period of time. This seems to be a serious health threat to the people.","open","22/01/2022"
