"ulb","collection"
"od.khandapada",18247.00
"od.jharsuguda",28266.00
"od.banpur",707.00
"od.banki",2107.00
"od.gudayagiri",8679.00
"od.gudari",62214.00
"od.rourkela",10682240.00
"od.khallikote",16.00
"od.kesinga",22017.00
"od.kashinagar",30952.00
"od.soro",812557.00
"od.jatni",780.00
"od.junagarh",22589.00
"od.pattamundai",33830.00
"od.bargarh",3319.00
"od.sambalpur",3798.00
"od.titilagarh",192.00
"od.gopalpur",59.00
"od.dhenkanal",105754.00
"od.bhadrak",5712.00
"od.jeypore",53804.00
"od.joda",27198.00
"od.talcher",1978154.00
"od.birmitrapur",21613.00
"od.khariarroad",161.00
"od.deogarh",220550.00
"od.kuchinda",115632.00
"od.khordha",123939.00
"od.koraput",22957.00
"od.choudwar",8535.00
"od.chatrapur",190403.00
"od.pipli",19369.00
"od.kodala",3673.00
"od.athmallik",1634.00
"od.balasore",8550.00
"od.tarbha",22938.00
"od.rairangpur",68905.00
"od.angul",163283.00
"od.bhuban",45.00
"od.digapahandi",31179.00
"od.karanjia",49975.00
"od.puri",4065272.00
"od.patnagarh",2028.00
"od.jaleswar",16669.00
"od.paralakhemundi",25945.00
"od.redhakhol",100.00
"od.baripada",5976.00
"od.vyasanagar",778.00
"od.cuttack",78352.00
"od.kotpad",10512.00
"od.bhawanipatna",79113.00
"od.gunupur",108937.00
"od.boudhgarh",5821.00
"od.balugaon",36015.00
"od.sonepur",233824.00
"od.rambha",2308.00
"od.rajgangpur",2430.00
