"ulb","collection"
"od.dharamgarh","2000.00"
"od.belpahar","3000.00"
"od.anandapur","3800.00"
"od.champua","1500.00"
"od.khandapada","7000.00"
"od.padampur","28000.00"
"od.jagatsinghpur","10000.00"
"od.jharsuguda","20500.00"
"od.kantabanji","68800.00"
"od.banpur","5000.00"
"od.banki","10000.00"
"od.gudayagiri","4000.00"
"od.bhanjanagar","500.00"
"od.nimapara","2100.00"
"od.rourkela","709700.00"
"od.dhamnagar","500.00"
"od.paradeep","32500.00"
"od.kabisuryanagar","5000.00"
"od.khallikote","13300.00"
"od.kesinga","4000.00"
"od.kashinagar","8700.00"
"od.soro","14900.00"
"od.jatni","224500.00"
"od.balimela","2500.00"
"od.khariar","3000.00"
"od.attabira","8000.00"
"od.pattamundai","6300.00"
"od.odagaon","5500.00"
"od.junagarh","2800.00"
"od.ganjam","12000.00"
"od.bargarh","32000.00"
"od.bijepur","3500.00"
"od.sambalpur","45200.00"
"od.balliguda","1000.00"
"od.titilagarh","44500.00"
"od.kamakhyanagar","1500.00"
"od.buguda","2000.00"
"od.dhenkanal","41200.00"
"od.bhadrak","1000.00"
"od.jeypore","11000.00"
"od.joda","50000.00"
"od.talcher","50000.00"
"od.birmitrapur","10500.00"
"od.nayagarh","89500.00"
"od.chikiti","1000.00"
"od.deogarh","9000.00"
"od.kuchinda","19200.00"
"od.khordha","40800.00"
"od.polasara","9300.00"
"od.koraput","27200.00"
"od.berhampur","647700.00"
"od.choudwar","8500.00"
"od.hindol","1500.00"
"od.chatrapur","148400.00"
"od.purushottampur","2000.00"
"od.pipli","1200.00"
"od.brajrajnagar","1000.00"
"od.kodala","8500.00"
"od.athmallik","17000.00"
"od.balasore","145600.00"
"od.tarbha","11800.00"
"od.rairangpur","10600.00"
"od.nabarangpur","4030.00"
"od.binka","1000.00"
"od.angul","148600.00"
"od.umerkote","13700.00"
"od.bhuban","6500.00"
"od.chandbali","7700.00"
"od.aska","17000.00"
"od.jajpur","4800.00"
"od.digapahandi","28400.00"
"od.karanjia","200.00"
"od.keonjhargarh","23000.00"
"od.kendrapara","12800.00"
"od.udala","7500.00"
"od.surada","7500.00"
"od.bellaguntha","14700.00"
"od.puri","492500.00"
"od.hinjilicut","4300.00"
"od.patnagarh","16500.00"
"od.nuapada","2000.00"
"od.jaleswar","18000.00"
"od.daspalla","38200.00"
"od.paralakhemundi","15800.00"
"od.rayagada","21900.00"
"od.sundargarh","3000.00"
"od.balangir","10000.00"
"od.baripada","140500.00"
"od.vyasanagar","2500.00"
"od.cuttack","396000.00"
"od.tusura","2000.00"
"od.phulbani","2500.00"
"od.bhawanipatna","22500.00"
"od.gunupur","14600.00"
"od.boudhgarh","12000.00"
"od.balugaon","15500.00"
"od.sonepur","9500.00"
"od.athagarh","500.00"
"od.rajgangpur","800.00"
"od.rambha","1200.00"
