"ulb","status","numberofapplications"
"od.attabira","DOCVERIFICATION",5
"od.kendrapara","PENDINGPAYMENT",2
"od.dhenkanal","PENDINGAPPROVAL",1
"od.athmallik","APPROVED",20
"od.titilagarh","DOCVERIFICATION",2
"od.joda","FIELDINSPECTION",1
"od.kuchinda","PENDINGAPPROVAL",1
"od.udala","DOCVERIFICATION",1
"od.cuttack","APPROVED",25
"od.brajrajnagar","APPROVED",6
"od.rourkela","FIELDINSPECTION",1
"od.rayagada","APPROVED",32
"od.khariar","PENDINGAPPROVAL",1
"od.bargarh","APPROVED",26
"od.chatrapur","DOCVERIFICATION",7
"od.daspalla","DOCVERIFICATION",6
"od.brajrajnagar","PENDINGPAYMENT",11
"od.rourkela","APPROVED",453
"od.dhamnagar","APPROVED",1
"od.boudhgarh","APPROVED",1
"od.daspalla","PENDINGPAYMENT",1
"od.jatni","PENDINGAPPROVAL",5
"od.surada","PENDINGPAYMENT",2
"od.kantabanji","PENDINGAPPROVAL",1
"od.baripada","PENDINGPAYMENT",9
"od.barbil","APPROVED",2
"od.sonepur","PENDINGPAYMENT",2
"od.chikiti","PENDINGPAYMENT",1
"od.ganjam","APPROVED",1
"od.puri","FIELDINSPECTION",27
"od.redhakhol","APPROVED",1
"od.khordha","PENDINGAPPROVAL",31
"od.angul","REJECTED",2
"od.jharsuguda","PENDINGAPPROVAL",1
"od.rambha","PENDINGPAYMENT",1
"od.rourkela","DOCVERIFICATION",10
"od.koraput","APPROVED",15
"od.brajrajnagar","DOCVERIFICATION",3
"od.kendrapara","DOCVERIFICATION",3
"od.cuttack","DOCVERIFICATION",75
"od.surada","DOCVERIFICATION",1
"od.kantabanji","APPROVED",28
"od.pipli","PENDINGPAYMENT",1
"od.jharsuguda","DOCVERIFICATION",53
"od.tusura","DOCVERIFICATION",1
"od.choudwar","CITIZENACTIONPENDINGATDOCVERIFICATION",1
"od.balangir","DOCVERIFICATION",7
"od.kashinagar","PENDINGPAYMENT",1
"od.paradeep","PENDINGPAYMENT",3
"od.binka","APPROVED",1
"od.jaleswar","APPROVED",53
"od.vyasanagar","APPROVED",4
"od.berhampur","FIELDINSPECTION",457
"od.banki","PENDINGPAYMENT",1
"od.athmallik","REJECTED",1
"od.balliguda","APPROVED",1
"od.balasore","REJECTED",2
"od.jajpur","DOCVERIFICATION",5
"od.rairangpur","APPROVED",17
"od.konark","DOCVERIFICATION",1
"od.hinjilicut","PENDINGPAYMENT",10
"od.patnagarh","FIELDINSPECTION",1
"od.pattamundai","APPROVED",13
"od.malkangiri","PENDINGPAYMENT",3
"od.berhampur","CITIZENACTIONPENDINGATFIVERIFICATION",1
"od.nayagarh","APPROVED",45
"od.digapahandi","APPROVED",31
"od.bargarh","DOCVERIFICATION",3
"od.surada","APPROVED",6
"od.khariar","PENDINGPAYMENT",2
"od.bhawanipatna","PENDINGPAYMENT",5
"od.barbil","DOCVERIFICATION",1
"od.athmallik","PENDINGPAYMENT",2
"od.jaleswar","REJECTED",2
"od.sambalpur","APPROVED",1
"od.khordha","DOCVERIFICATION",7
"od.dhenkanal","PENDINGPAYMENT",4
"od.junagarh","PENDINGPAYMENT",4
"od.choudwar","FIELDINSPECTION",1
"od.deogarh","CITIZENACTIONPENDINGATFIVERIFICATION",1
"od.angul","APPROVED",62
"od.dharamgarh","PENDINGPAYMENT",1
"od.cuttack","PENDINGPAYMENT",47
"od.polasara","PENDINGPAYMENT",3
"od.athagarh","DOCVERIFICATION",1
"od.jatni","APPROVED",186
