"ulb","numberofapplications"
"od.cuttack","165"
"od.tusura","1"
"od.phulbani","13"
"od.bhawanipatna","27"
"od.sunabeda","3"
"od.gunupur","20"
"od.boudhgarh","6"
"od.balugaon","35"
"od.sonepur","18"
"od.athagarh","2"
"od.rajgangpur","15"
"od.rambha","10"
"od.dharamgarh","3"
"od.belpahar","2"
"od.anandapur","10"
"od.champua","20"
"od.khandapada","4"
"od.padampur","199"
"od.jagatsinghpur","9"
"od.barbil","6"
"od.jharsuguda","102"
"od.kantabanji","252"
"od.banpur","10"
"od.banki","5"
"od.gudayagiri","2"
"od.konark","3"
"od.gudari","2"
"od.bhanjanagar","3"
"od.nimapara","20"
"od.rourkela","580"
"od.dhamnagar","1"
"od.paradeep","10"
"od.kabisuryanagar","11"
"od.khallikote","12"
"od.kesinga","6"
"od.kashinagar","11"
"od.soro","11"
"od.jatni","220"
"od.khariar","8"
"od.balimela","11"
"od.attabira","8"
"od.junagarh","17"
"od.odagaon","4"
"od.pattamundai","28"
"od.ganjam","6"
"od.bargarh","49"
"od.bijepur","8"
"od.sambalpur","40"
"od.balliguda","2"
"od.barpali","6"
"od.titilagarh","136"
"od.kamakhyanagar","4"
"od.buguda","2"
"od.dhenkanal","59"
"od.gopalpur","1"
"od.jeypore","6"
"od.bhadrak","8"
"od.joda","51"
"od.talcher","31"
"od.birmitrapur","10"
"od.khariarroad","2"
"od.nayagarh","71"
"od.chikiti","4"
"od.deogarh","23"
"od.kuchinda","26"
"od.khordha","90"
"od.polasara","11"
"od.koraput","26"
"od.berhampur","1057"
"od.choudwar","8"
"od.hindol","2"
"od.chatrapur","168"
"od.purushottampur","3"
"od.pipli","14"
"od.brajrajnagar","27"
"od.kodala","8"
"od.athmallik","23"
"od.balasore","75"
"od.tarbha","15"
"od.rairangpur","22"
"od.nabarangpur","3"
"od.binka","4"
"od.angul","110"
"od.umerkote","4"
"od.bhuban","5"
"od.chandbali","8"
"od.ranpur","1"
"od.aska","23"
"od.malkangiri","4"
"od.jajpur","10"
"od.digapahandi","34"
"od.karanjia","4"
"od.keonjhargarh","67"
"od.kendrapara","60"
"od.udala","21"
"od.surada","11"
"od.bellaguntha","71"
"od.puri","239"
"od.patnagarh","22"
"od.hinjilicut","22"
"od.jaleswar","63"
"od.nuapada","5"
"od.daspalla","61"
"od.redhakhol","4"
"od.paralakhemundi","33"
"od.rayagada","59"
"od.sundargarh","22"
"od.balangir","36"
"od.baripada","92"
"od.vyasanagar","19"
