"ulb","numberofapplicationsapproved"
"od.dharamgarh",1
"od.anandapur",7
"od.champua",13
"od.khandapada",4
"od.padampur",188
"od.barbil",2
"od.jharsuguda",7
"od.kantabanji",28
"od.banpur",9
"od.banki",1
"od.gudayagiri",1
"od.konark",1
"od.bhanjanagar",1
"od.nimapara",5
"od.rourkela",496
"od.paradeep",5
"od.khallikote",6
"od.kesinga",3
"od.kashinagar",10
"od.soro",8
"od.jatni",186
"od.khariar",1
"od.balimela",9
"od.attabira",3
"od.junagarh",3
"od.pattamundai",19
"od.bargarh",27
"od.ganjam",1
"od.bijepur",8
"od.sambalpur",1
"od.balliguda",1
"od.barpali",6
"od.titilagarh",96
"od.kamakhyanagar",1
"od.dhenkanal",52
"od.joda",41
"od.talcher",19
"od.birmitrapur",3
"od.khariarroad",1
"od.nayagarh",49
"od.chikiti",3
"od.deogarh",18
"od.kuchinda",7
"od.khordha",35
"od.polasara",7
"od.koraput",18
"od.berhampur",2
"od.choudwar",1
"od.chatrapur",132
"od.purushottampur",1
"od.brajrajnagar",13
"od.pipli",10
"od.kodala",3
"od.athmallik",20
"od.balasore",53
"od.tarbha",14
"od.rairangpur",20
"od.binka",1
"od.angul",62
"od.umerkote",1
"od.bhuban",1
"od.aska",5
"od.digapahandi",31
"od.karanjia",1
"od.keonjhargarh",8
"od.kendrapara",48
"od.udala",17
"od.surada",7
"od.bellaguntha",61
"od.puri",143
"od.hinjilicut",5
"od.patnagarh",9
"od.jaleswar",59
"od.daspalla",54
"od.redhakhol",2
"od.rayagada",53
"od.paralakhemundi",15
"od.sundargarh",6
"od.balangir",10
"od.baripada",74
"od.vyasanagar",6
"od.cuttack",29
"od.bhawanipatna",14
"od.sunabeda",1
"od.gunupur",15
"od.boudhgarh",2
"od.balugaon",23
"od.sonepur",6
"od.rajgangpur",11
"od.rambha",8
