"tenantid","licensetype","status","applicationtype"
"od.athmallik","PERMANENT","INITIATED","NEW"
"od.koraput","PERMANENT","APPROVED","NEW"
"od.daspalla","PERMANENT","INITIATED","NEW"
"od.choudwar","PERMANENT","INITIATED","NEW"
"od.nayagarh","PERMANENT","REJECTED","NEW"
"od.cuttack","PERMANENT","INITIATED","NEW"
"od.dhamnagar","PERMANENT","INITIATED","NEW"
"od.cuttack","PERMANENT","PENDINGPAYMENT","NEW"
"od.titilagarh","PERMANENT","INITIATED","NEW"
"od.rayagada","PERMANENT","PENDINGPAYMENT","NEW"
"od.ranpur","PERMANENT","PENDINGPAYMENT","NEW"
"od.chatrapur","PERMANENT","PENDINGPAYMENT","NEW"
"od.angul","PERMANENT","REJECTED","NEW"
"od.baripada","PERMANENT","APPROVED","NEW"
"od.joda","PERMANENT","APPROVED","NEW"
"od.rambha","PERMANENT","PENDINGPAYMENT","NEW"
"od.dhamnagar","PERMANENT","APPROVED","NEW"
"od.deogarh","PERMANENT","INITIATED","NEW"
"od.barbil","PERMANENT","PENDINGPAYMENT","NEW"
"od.berhampur","PERMANENT","PENDINGPAYMENT","NEW"
"od.brajrajnagar","PERMANENT","PENDINGPAYMENT","NEW"
"od.gudari","PERMANENT","PENDINGPAYMENT","NEW"
"od.kesinga","PERMANENT","INITIATED","NEW"
"od.umerkote","PERMANENT","INITIATED","NEW"
"od.gopalpur","PERMANENT","PENDINGPAYMENT","NEW"
"od.khallikote","PERMANENT","PENDINGPAYMENT","NEW"
"od.hinjilicut","PERMANENT","PENDINGPAYMENT","NEW"
"od.rourkela","PERMANENT","REJECTED","NEW"
"od.binka","PERMANENT","PENDINGPAYMENT","NEW"
"od.jajpur","PERMANENT","DOCVERIFICATION","NEW"
"od.kendrapara","PERMANENT","PENDINGPAYMENT","NEW"
"od.cuttack","PERMANENT","PENDINGPAYMENT","NEW"
"od.cuttack","PERMANENT","PENDINGPAYMENT","NEW"
"od.athmallik","PERMANENT","APPROVED","NEW"
"od.berhampur","PERMANENT","PENDINGPAYMENT","NEW"
"od.sambalpur","PERMANENT","INITIATED","NEW"
"od.anandapur","PERMANENT","INITIATED","NEW"
"od.puri","PERMANENT","REJECTED","NEW"
"od.tarbha","PERMANENT","REJECTED","NEW"
"od.junagarh","PERMANENT","DOCVERIFICATION","NEW"
"od.cuttack","PERMANENT","INITIATED","NEW"
"od.kantabanji","PERMANENT","APPROVED","NEW"
"od.gunupur","PERMANENT","INITIATED","NEW"
"od.cuttack","PERMANENT","PENDINGPAYMENT","NEW"
"od.puri","PERMANENT","APPROVED","NEW"
"od.puri","PERMANENT","PENDINGPAYMENT","NEW"
"od.paradeep","PERMANENT","APPROVED","NEW"
"od.sambalpur","PERMANENT","PENDINGPAYMENT","NEW"
"od.cuttack","PERMANENT","PENDINGPAYMENT","NEW"
"od.puri","PERMANENT","FIELDINSPECTION","NEW"
"od.berhampur","PERMANENT","DOCVERIFICATION","NEW"
"od.cuttack","PERMANENT","INITIATED","NEW"
"od.sambalpur","PERMANENT","PENDINGPAYMENT","NEW"
"od.deogarh","PERMANENT","INITIATED","NEW"
"od.angul","PERMANENT","DOCVERIFICATION","NEW"
"od.sambalpur","PERMANENT","DOCVERIFICATION","NEW"
"od.nayagarh","PERMANENT","APPROVED","NEW"
"od.sambalpur","PERMANENT","DOCVERIFICATION","NEW"
"od.cuttack","PERMANENT","DOCVERIFICATION","NEW"
"od.jharsuguda","PERMANENT","INITIATED","NEW"
"od.jharsuguda","PERMANENT","PENDINGPAYMENT","NEW"
"od.berhampur","PERMANENT","DOCVERIFICATION","NEW"
"od.jatni","PERMANENT","INITIATED","NEW"
"od.kendrapara","PERMANENT","DOCVERIFICATION","NEW"
"od.athmallik","PERMANENT","INITIATED","NEW"
"od.sundargarh","PERMANENT","PENDINGPAYMENT","NEW"
"od.angul","PERMANENT","DOCVERIFICATION","NEW"
"od.karanjia","PERMANENT","DOCVERIFICATION","NEW"
"od.cuttack","PERMANENT","DOCVERIFICATION","NEW"
"od.bhuban","PERMANENT","INITIATED","NEW"
"od.jagatsinghpur","PERMANENT","PENDINGPAYMENT","NEW"
"od.polasara","PERMANENT","APPROVED","NEW"
"od.talcher","PERMANENT","INITIATED","NEW"
"od.athmallik","PERMANENT","APPROVED","NEW"
"od.chatrapur","PERMANENT","PENDINGPAYMENT","NEW"
"od.daspalla","PERMANENT","APPROVED","NEW"
"od.pattamundai","PERMANENT","INITIATED","NEW"
"od.balasore","PERMANENT","INITIATED","NEW"
"od.daspalla","PERMANENT","PENDINGPAYMENT","NEW"
"od.athmallik","PERMANENT","APPROVED","NEW"
"od.athmallik","PERMANENT","APPROVED","NEW"
"od.athmallik","PERMANENT","APPROVED","NEW"
"od.athmallik","PERMANENT","APPROVED","NEW"
"od.rajgangpur","PERMANENT","INITIATED","NEW"
"od.daspalla","PERMANENT","APPROVED","NEW"
"od.daspalla","PERMANENT","APPROVED","NEW"
"od.athmallik","PERMANENT","APPROVED","NEW"
"od.daspalla","PERMANENT","APPROVED","NEW"
"od.khallikote","PERMANENT","INITIATED","NEW"
"od.koraput","PERMANENT","INITIATED","NEW"
"od.rayagada","PERMANENT","INITIATED","NEW"
"od.koraput","PERMANENT","CANCELLED","NEW"
"od.cuttack","PERMANENT","INITIATED","NEW"
"od.koraput","PERMANENT","INITIATED","NEW"
"od.koraput","PERMANENT","APPROVED","NEW"
"od.binka","PERMANENT","PENDINGPAYMENT","NEW"
"od.hindol","PERMANENT","INITIATED","NEW"
"od.koraput","PERMANENT","APPROVED","NEW"
"od.berhampur","TEMPORARY","INITIATED","NEW"
"od.athmallik","PERMANENT","APPROVED","NEW"
"od.rambha","PERMANENT","APPROVED","NEW"
"od.daspalla","PERMANENT","APPROVED","NEW"
"od.daspalla","PERMANENT","APPROVED","NEW"
"od.daspalla","PERMANENT","APPROVED","NEW"
"od.daspalla","PERMANENT","APPROVED","NEW"
"od.hindol","PERMANENT","DOCVERIFICATION","NEW"
"od.koraput","PERMANENT","APPROVED","NEW"
"od.daspalla","PERMANENT","APPROVED","NEW"
"od.cuttack","PERMANENT","INITIATED","NEW"
"od.daspalla","PERMANENT","APPROVED","NEW"
"od.cuttack","PERMANENT","INITIATED","NEW"
"od.cuttack","PERMANENT","PENDINGPAYMENT","NEW"
"od.cuttack","PERMANENT","PENDINGPAYMENT","NEW"
"od.daspalla","PERMANENT","APPROVED","NEW"
"od.daspalla","PERMANENT","APPROVED","NEW"
"od.bellaguntha","PERMANENT","APPROVED","NEW"
"od.daspalla","PERMANENT","FIELDINSPECTION","NEW"
"od.rourkela","PERMANENT","PENDINGPAYMENT","NEW"
"od.attabira","PERMANENT","DOCVERIFICATION","NEW"
"od.anandapur","PERMANENT","INITIATED","NEW"
"od.sambalpur","PERMANENT","DOCVERIFICATION","NEW"
"od.pattamundai","PERMANENT","PENDINGPAYMENT","NEW"
"od.keonjhargarh","PERMANENT","INITIATED","NEW"
"od.berhampur","PERMANENT","DOCVERIFICATION","NEW"
"od.chatrapur","TEMPORARY","APPROVED","NEW"
"od.koraput","PERMANENT","APPROVED","NEW"
"od.ganjam","PERMANENT","INITIATED","NEW"
"od.rourkela","PERMANENT","APPROVED","NEW"
"od.bellaguntha","PERMANENT","APPROVED","NEW"
"od.cuttack","PERMANENT","DOCVERIFICATION","NEW"
"od.rourkela","PERMANENT","INITIATED","NEW"
"od.keonjhargarh","PERMANENT","PENDINGPAYMENT","NEW"
"od.kantabanji","PERMANENT","APPROVED","NEW"
"od.berhampur","PERMANENT","INITIATED","NEW"
"od.keonjhargarh","PERMANENT","PENDINGPAYMENT","NEW"
"od.nayagarh","PERMANENT","PENDINGPAYMENT","NEW"
"od.berhampur","PERMANENT","INITIATED","NEW"
"od.nayagarh","PERMANENT","INITIATED","NEW"
"od.bargarh","PERMANENT","PENDINGPAYMENT","NEW"
"od.cuttack","PERMANENT","DOCVERIFICATION","NEW"
"od.jagatsinghpur","PERMANENT","DOCVERIFICATION","NEW"
"od.athagarh","PERMANENT","DOCVERIFICATION","NEW"
"od.athmallik","PERMANENT","APPROVED","NEW"
"od.berhampur","PERMANENT","PENDINGPAYMENT","NEW"
"od.bellaguntha","PERMANENT","APPROVED","NEW"
"od.athmallik","PERMANENT","INITIATED","NEW"
"od.tarbha","PERMANENT","APPROVED","NEW"
"od.balangir","PERMANENT","PENDINGPAYMENT","NEW"
"od.sonepur","PERMANENT","DOCVERIFICATION","NEW"
"od.rourkela","PERMANENT","APPROVED","NEW"
"od.rourkela","PERMANENT","INITIATED","NEW"
"od.nayagarh","PERMANENT","INITIATED","NEW"
"od.kendrapara","PERMANENT","PENDINGPAYMENT","NEW"
