"ulb","collection"
"od.anandapur",6.00
"od.khandapada",416.00
"od.jagatsinghpur",1.00
"od.jharsuguda",257170.00
"od.banki",3060.00
"od.rourkela",78200.00
"od.nimapara",448.00
"od.paradeep",222.00
"od.kamakhyanagar",212382.00
"od.dhenkanal",21863.00
"od.bhadrak",12.00
"od.jeypore",11.00
"od.joda",2.00
"od.nayagarh",419.00
"od.polasara",0.00
"od.bhubaneswar",91217.00
"od.aska",374537.00
"od.keonjhargarh",1.00
"od.kendrapara",11685.00
"od.puri",78914.00
"od.hinjilicut",23710.00
"od.rayagada",2479.00
"od.baripada",1829.00
"od.cuttack",15419.00
"od.bhawanipatna",3067.00
"od.athagarh",5302.00
"od.rajgangpur",12139.00
