"ulb","servicecode","description","status","createddate","lastmodifieddate"
"Cuttack","Seweragetreatmentplantnonfunctionalnotfunctioningoptimally","Overflow of Sewerage","open","2021-07-26 22:09:05+05:30","2021-07-26 22:09:05+05:30"
"Cuttack","Seweragetreatmentplantnonfunctionalnotfunctioningoptimally","overflow","open","2021-07-26 22:33:34+05:30","2021-07-26 22:33:34+05:30"
"Cuttack","IllegalDrainingofSewagetoPublicDrainsorRoadsOpenSitesetc","water are flowing in road","open","2021-07-29 10:48:15+05:30","2021-07-29 10:48:15+05:30"
"Cuttack","FootpathrelatedAnyothergrievance","footpath damaged","open","2021-07-29 10:51:59+05:30","2021-07-29 10:51:59+05:30"
"Rourkela","Paidreceiptdetailsnotreflected","I am unable to find my paid receipts gor the holding tax","open","2021-09-10 13:41:33+05:30","2021-10-05 21:11:09+05:30"
"Sambalpur","Delayinissuanceofcertificate","help me","open","2021-09-16 11:47:57+05:30","2021-09-16 11:47:57+05:30"
"Cuttack","WaterBillrelatedAnyothergrievance","Water bill payment on line","open","2021-09-19 21:43:43+05:30","2021-09-19 21:43:43+05:30"
"Berhampur","Requestingofwatertanker","HIMANSU BISWAL NEED ONE WATER TANK DATE 21.9.21","open","2021-09-20 10:50:40+05:30","2021-09-20 10:50:40+05:30"
"Khordha","RemovalofsiltfromNala","Remove sand in nala, jama in nala","open","2021-09-20 14:33:40+05:30","2021-09-20 14:33:40+05:30"
"Cuttack","DrainageOpenSurfaceAnyothergrievance","cover slab","open","2021-09-21 12:28:33+05:30","2021-09-21 12:28:33+05:30"
"Cuttack","Drainchocking","Drain not cleen. Water choke.","open","2021-10-01 09:04:42+05:30","2021-10-01 09:04:42+05:30"
"Rourkela","Paidreceiptdetailsnotreflected","I am unable to find my holding tax paid receipts after the new platform is launched. Kindly help.","open","2021-10-01 13:27:10+05:30","2021-10-01 13:27:10+05:30"
"Vyasanagar","RepairingofStreetLightsotherthanmainroads","THE  STREET LIGHT  FUSESD ","open","2021-10-02 21:20:17+05:30","2021-10-02 21:20:17+05:30"
"Vyasanagar","StreetLightsAnyothergrievance","MAIN ROAD TOTALY DRAK ,","open","2021-10-03 17:58:47+05:30","2021-10-11 21:46:58+05:30"
"Jatni","ProvidingofPipeWater","relocated my watter connection ","resolved","2021-10-06 17:16:14+05:30","2021-11-17 11:17:23+05:30"
"Jatni","Cleaningofseptictank","The septic tank is almost full now  and  completely full In this condition, several problems may arise for my family pls clear it as soon as posible ","resolved","2021-10-06 17:19:39+05:30","2021-11-07 21:14:45+05:30"
"Sambalpur","BuildingPlanApproval","Addition","open","2021-10-07 11:28:38+05:30","2021-10-07 11:28:38+05:30"
"Ganjam","UnabletogettheTradeLicencedetailsinportalpage","I want my trade licence","open","2021-10-07 22:27:30+05:30","2021-10-07 22:27:30+05:30"
"Vyasanagar","RepairingofStreetLightsotherthanmainroads","MANAS RANJAN SAMAL","open","2021-10-11 20:56:39+05:30","2021-10-11 20:56:39+05:30"
"Vyasanagar","DevelopmentofcremationGround","MANAS RANJAN SAMAL","open","2021-10-11 21:49:32+05:30","2021-10-12 21:41:14+05:30"
"Cuttack","RectificationOfNameAddress","Please rectify my name  Pradeep Kumar Sarkar","open","2021-10-12 11:45:18+05:30","2021-10-12 11:45:18+05:30"
"Cuttack","WaterBillrelatedAnyothergrievance","I cant pay my water bill online, so what can I do sir","open","2021-10-14 12:06:37+05:30","2021-11-08 12:53:37+05:30"
"Cuttack","Drainchocking","Drain has been choked since from last one year or more ,no action has been taken so far. needful action may please be taken.","open","2021-10-17 11:02:27+05:30","2021-11-23 10:03:00+05:30"
"Kendrapara","Amountdebitedfrombankbutitsnotupdatedonpaymentscreenofportalpage","Kindly do the needful","open","2021-10-17 19:51:23+05:30","2021-10-17 19:51:23+05:30"
"Cuttack","Nonreceiptofbills","The online payment facility for Water and Sewerasge Bill for the month of September is not available for payment online. PH Cosumer No. 6805245","open","2021-10-20 13:17:55+05:30","2021-10-20 13:17:55+05:30"
"Cuttack","BuildingPlanApproval","Bibhas Mohanty","open","2021-10-21 14:48:49+05:30","2021-10-21 14:48:49+05:30"
"Cuttack","BuildingPlanApproval","Cuttack","open","2021-10-21 15:12:23+05:30","2021-10-21 15:12:23+05:30"
"Brajrajnagar","RectificationOfNameAddress","Please rectify Owner Surname Lipika Mahanty to  Lipika Mohanty","open","2021-10-23 22:25:47+05:30","2021-10-23 22:25:47+05:30"
"Cuttack","PropertyTaxHoldingTaxrelatedUnabletodownloadthereceiptafterpayment","Paid but not able to download receipt ","open","2021-10-24 01:26:25+05:30","2021-10-24 01:26:25+05:30"
"Chatrapur","Amountdebitedfrombankbutitsnotupdatedonpaymentscreenofportalpage","amount debit from phonpay upi but not recive any ricipt ","open","2021-10-25 12:21:38+05:30","2021-10-25 12:21:38+05:30"
"Joda","IssuanceofFreshorRenewalTradeLicense","jalahari village is a revenue village.but trade license can not be applied due to its not come under joda muncipality.but it comes under joda revenue village.hence their is a category of joda revenue village in options.","open","2021-10-26 15:47:28+05:30","2021-10-26 15:47:28+05:30"
"Keonjhargarh","Amountdebitedfrombankbutitsnotupdatedonpaymentscreenofportalpage","Transaction ID T2110271145135640739914","open","2021-10-27 11:49:25+05:30","2021-10-27 11:49:25+05:30"
"Puri","OwnershiptransfernotreflectedinthePropertyMaster","I Sri Somanath Behera is the owner of property and my father is Late Sri Baishnab Charan Behera. Unfortunately in your new site it is showing as my father is the owner of property against the new Property ID   PT PRI 473442","open","2021-10-27 17:00:46+05:30","2021-11-13 00:26:00+05:30"
"Khordha","Nonreceiptofbills","It is not possible to pay the water bill through online as the suitable web page is not displaying. We have not received bill for this current month. pl do the needful","open","2021-10-27 23:31:06+05:30","2021-10-27 23:31:06+05:30"
"Chatrapur","PaymentofBills"," 110320373341IGAMHVZIZ9 . PAID TRADE LICENSE BILL  ON THIS REFERENCE NUMBER .BUT ON PORTAL TRANSACTION IS NOT SHOWING.SO PLS UPDATE TRANSACTION.","open","2021-10-29 10:52:36+05:30","2021-10-29 10:52:36+05:30"
"Berhampur","Amountdebitedfrombankbutitsnotupdatedonpaymentscreenofportalpage","PAYMENT RECIEPT NUMBER GENERATED BUT UNABLE TO SEE THE UPDATE ON THE PORTAL PAGE","open","2021-10-30 16:50:28+05:30","2021-10-30 16:50:28+05:30"
"Chatrapur","PaymentofBills","110321897986igamidzfb7 PAID 1000 ON THIS TRANSACTION BUT ON PORTAL NOT SHOWING SUCCESS.","open","2021-10-30 21:27:19+05:30","2021-10-30 21:27:19+05:30"
"Athmallik","WaterBillrelatedAnyothergrievance","There's a problem in paying water bill since September. The previous ulb Odisha site in which through we were paying water bill is discontinued. Till now the problem is not solved yet so when we will able to pay our bill. ","open","2021-10-31 18:12:18+05:30","2021-11-10 16:02:52+05:30"
"Cuttack","Delayinissuanceofcertificate","Not doing issuance of certificate.","open","2021-11-02 11:25:40+05:30","2021-11-02 11:25:40+05:30"
"Puri","Amountdebitedfrombankbutitsnotupdatedonpaymentscreenofportalpage","AMOUNT DEBITED FROM BANK BUT IT NOT SHOW INTO PORTAL","open","2021-11-02 19:34:00+05:30","2021-11-02 19:34:00+05:30"
"Jatni","ConstructionofDrain","Construction of drain at Raja Bazar, Jatni","closed","2021-11-07 14:07:37+05:30","2021-11-07 20:59:29+05:30"
"Jatni","ConstructionofCommunityCentre","Please look at Ward No.10","closed","2021-11-07 14:42:42+05:30","2021-11-07 20:57:59+05:30"
"Nayagarh","IssuanceofFreshorRenewalTradeLicense","BASANTA KUMAR SAHOOTRADE LICENCEING NO21 2015 9437107685","rejected","2021-11-08 13:01:02+05:30","2021-11-24 12:42:10+05:30"
"Boudhgarh","Amountdebitedfrombankbutitsnotupdatedonpaymentscreenofportalpage","We have paid but the amount is not reflected. the applcation copy and payment paid challan enclosed for your info. ","open","2021-11-09 14:25:52+05:30","2021-11-09 14:25:52+05:30"
"Khordha","Areanotcoveredwithstreetlightsrequestfornewstreetlights","A part of the road is not covered with street lights","open","2021-11-10 21:33:02+05:30","2021-11-10 21:33:02+05:30"
